timestamps,TP9,AF7,AF8,TP10,Right AUX
1743888795.785,970.703,971.680,971.191,971.191,0.000
1743888795.789,970.703,971.680,971.191,971.191,0.000
1743888795.793,970.703,971.191,971.680,971.680,0.000
1743888795.796,970.703,971.191,974.609,971.191,0.000
1743888795.800,987.305,987.793,972.656,987.793,0.000
1743888795.804,913.086,913.574,930.664,913.574,0.000
1743888795.808,-975.098,-974.609,999.023,-974.609,0.000
1743888795.812,861.328,862.305,563.477,861.816,0.000
1743888795.816,-597.168,-596.680,-882.324,-597.168,0.000
1743888795.820,-1000.000,-1000.000,-912.109,-1000.000,0.000
1743888795.824,-925.781,-925.781,573.242,-925.781,0.000
1743888795.828,-1000.000,-1000.000,-373.047,-1000.000,0.000
1743888795.828,-1000.000,-1000.000,-373.047,-1000.000,0.000
1743888795.832,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.835,0.000,-1000.000,-913.574,-1000.000,0.000
1743888795.839,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.843,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.847,0.000,-1000.000,-998.535,-1000.000,0.000
1743888795.851,0.000,-1000.000,-982.910,-1000.000,0.000
1743888795.855,0.000,-1000.000,-995.117,-1000.000,0.000
1743888795.859,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.863,0.000,-1000.000,-999.512,-1000.000,0.000
1743888795.867,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.871,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.875,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.878,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.882,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.886,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.890,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.894,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.898,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.902,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.906,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.910,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.914,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.918,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.921,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.925,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.929,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.933,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.937,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.941,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.945,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.949,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.953,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.957,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.960,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.964,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.968,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.972,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.976,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.980,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.984,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.988,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.992,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888795.996,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.000,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.003,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.007,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.011,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.015,0.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.019,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.023,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.027,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.031,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.035,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.039,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.043,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.046,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.050,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.054,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.058,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.062,-1000.000,-1000.000,-996.094,-1000.000,0.000
1743888796.066,-1000.000,-1000.000,-999.512,-1000.000,0.000
1743888796.070,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.074,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.078,-965.332,-965.332,-967.773,-963.867,0.000
1743888796.082,-1000.000,-1000.000,-995.605,-1000.000,0.000
1743888796.085,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.089,289.062,289.551,256.836,306.641,0.000
1743888796.093,-888.672,-887.695,-889.648,-888.672,0.000
1743888796.097,901.367,902.344,904.785,901.855,0.000
1743888796.101,976.562,977.539,975.586,978.027,0.000
1743888796.105,970.703,971.680,971.680,971.191,0.000
1743888796.109,970.703,971.680,971.680,971.191,0.000
1743888796.113,970.703,971.680,971.191,971.680,0.000
1743888796.117,970.703,971.191,971.191,971.191,0.000
1743888796.121,970.703,971.680,971.680,971.191,0.000
1743888796.125,970.703,971.680,971.191,971.191,0.000
1743888796.128,970.703,971.680,971.191,971.191,0.000
1743888796.132,970.703,971.680,971.680,971.191,0.000
1743888796.136,970.703,971.680,971.191,971.191,0.000
1743888796.140,970.703,971.680,971.191,971.680,0.000
1743888796.144,970.703,971.191,971.680,971.191,0.000
1743888796.148,970.703,971.680,971.191,971.680,0.000
1743888796.152,970.703,971.191,971.191,971.680,0.000
1743888796.156,970.703,971.680,971.680,971.680,0.000
1743888796.160,970.703,971.680,971.680,971.680,0.000
1743888796.164,970.703,971.680,971.191,971.680,0.000
1743888796.168,970.703,971.680,971.680,971.680,0.000
1743888796.171,970.703,971.191,971.680,971.680,0.000
1743888796.175,970.703,971.680,971.191,971.680,0.000
1743888796.179,970.703,971.680,971.191,971.191,0.000
1743888796.183,970.703,971.191,971.680,971.191,0.000
1743888796.187,970.703,971.191,974.121,971.191,0.000
1743888796.191,987.305,987.793,973.633,987.793,0.000
1743888796.195,913.086,913.574,930.664,913.574,0.000
1743888796.199,-975.098,-974.609,-990.234,-974.609,0.000
1743888796.203,861.328,862.305,539.551,861.816,0.000
1743888796.207,-597.168,-596.680,-789.551,-597.168,0.000
1743888796.210,-1000.000,-1000.000,-921.387,-1000.000,0.000
1743888796.214,-925.781,-925.781,-728.027,-925.781,0.000
1743888796.218,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.222,-1000.000,-1000.000,-970.215,-1000.000,0.000
1743888796.226,-1000.000,-1000.000,-535.156,-1000.000,0.000
1743888796.230,-1000.000,-1000.000,-817.383,-1000.000,0.000
1743888796.234,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.238,-1000.000,-1000.000,-969.727,-1000.000,0.000
1743888796.242,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.246,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.250,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.253,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.257,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.261,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.265,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.269,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.273,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.277,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.281,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.285,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.289,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.292,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.296,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.300,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.304,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.308,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.312,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.316,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.320,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.324,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.328,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.332,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.335,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.339,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.343,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.347,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.351,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.355,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.359,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.363,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.367,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.371,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.375,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.378,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.382,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.386,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.390,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.394,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.398,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.402,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.406,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.410,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.414,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.417,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.421,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.425,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.429,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.433,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.437,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.441,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.445,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.449,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.453,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.457,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.460,-1000.000,-1000.000,-999.512,-1000.000,0.000
1743888796.464,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.468,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1743888796.472,-934.082,-934.082,-930.664,-936.035,0.000
1743888796.476,-1000.000,-1000.000,-1000.000,-1000.000,0.000
